"prompt_path","dsm_path","city","rgb_path","split","patch_id"
"HK/prompt_dsm_30m/patch_000001_prompt.tif","HK/dsm/patch_000001.tif","HK","HK/rgb/patch_000001.tif","training","000001"
"HK/prompt_dsm_30m/patch_000002_prompt.tif","HK/dsm/patch_000002.tif","HK","HK/rgb/patch_000002.tif","training","000002"
"HK/prompt_dsm_30m/patch_000004_prompt.tif","HK/dsm/patch_000004.tif","HK","HK/rgb/patch_000004.tif","training","000004"
"HK/prompt_dsm_30m/patch_000005_prompt.tif","HK/dsm/patch_000005.tif","HK","HK/rgb/patch_000005.tif","training","000005"
"HK/prompt_dsm_30m/patch_000006_prompt.tif","HK/dsm/patch_000006.tif","HK","HK/rgb/patch_000006.tif","training","000006"
"HK/prompt_dsm_30m/patch_000011_prompt.tif","HK/dsm/patch_000011.tif","HK","HK/rgb/patch_000011.tif","training","000011"
"HK/prompt_dsm_30m/patch_000012_prompt.tif","HK/dsm/patch_000012.tif","HK","HK/rgb/patch_000012.tif","training","000012"
"HK/prompt_dsm_30m/patch_000013_prompt.tif","HK/dsm/patch_000013.tif","HK","HK/rgb/patch_000013.tif","training","000013"
"HK/prompt_dsm_30m/patch_000014_prompt.tif","HK/dsm/patch_000014.tif","HK","HK/rgb/patch_000014.tif","training","000014"
"HK/prompt_dsm_30m/patch_000016_prompt.tif","HK/dsm/patch_000016.tif","HK","HK/rgb/patch_000016.tif","training","000016"
"HK/prompt_dsm_30m/patch_000017_prompt.tif","HK/dsm/patch_000017.tif","HK","HK/rgb/patch_000017.tif","training","000017"
"HK/prompt_dsm_30m/patch_000018_prompt.tif","HK/dsm/patch_000018.tif","HK","HK/rgb/patch_000018.tif","training","000018"
"HK/prompt_dsm_30m/patch_000021_prompt.tif","HK/dsm/patch_000021.tif","HK","HK/rgb/patch_000021.tif","training","000021"
"HK/prompt_dsm_30m/patch_000023_prompt.tif","HK/dsm/patch_000023.tif","HK","HK/rgb/patch_000023.tif","training","000023"
